Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders;negative
@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling...;negative
Preparing to have a heart attack #tweetdebate;negative
no debate moderators under 50, sorry  #tweetdebate;negative
@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current;negative
Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate;negative
#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so;negative
Obama -2 it an occupation not war #tweetdebate;negative
@TDefren  I'm very nervous, yes #tweetdebate;negative
#tweetdebate no golden parachutes no padding CEOs - Obama;negative
Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate;negative
McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current;negative
@current current channel reception is continually sucking. Gotta love comcast;negative
McCain -3 for Kenndey comment #tweetdebate;negative
McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate;negative
#tweetdebate McCain starts awkwardly;negative
-1 McCain for stalling with faux sympathy #tweetdebate;negative
@andrewa121 I only get OTA HD with my EyeTV 500.;negative
McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current;negative
@current McCain looks so tired!! wayyyy past his bedtime #current;negative
dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate;negative
@andrewa121 He looks and sounds pretty tired.;negative
@current Or its the beginning of the end of the beginning of the end.. Sheesh.;negative
McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate;negative
McCain: this is the end of the beginning. huh? #tweetdebate;negative
McCain -2 gving credit to house republicans #tweetdebate;negative
-1 McCain all over the place in his answer #tweetdebate;negative
Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate;negative
"if ur oldest candidate in history, why start with ""i'm not feeling great"" .. makes u thing ""you're not looking great either #tweetdebate";negative
Obama: 1 , McCain 0 : McCain didn't answer the question #tweetdebate;negative
Obama -1 for answering a different question #tweetdebate;negative
McCain -1 for bringing in Kennedy for emotional effect #tweetdebate;negative
#tweetdebate greed is how we got into this situation in the first place;negative
"McCain -2 ""Are you gonna vote for the plan?"" - ""I hope so"" whatte fuck?! #tweetdebate";negative
McCain -1 for failing to meaningfully answer the question on economy #tweetdebate;negative
McCain -1 improper analogy #tweetdebate;negative
Obama -1 for not understanding economic regulation in America. #tweetdebate;negative
"#tweetdebate -1 McCain ""we saw these problems coming"" I thought the economy was fundamentally sound";negative
Already tired of the Wall Street v Main Street analogies. #tweetdebate;negative
how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate;negative
"@current #current How can you say ""I hope so"" when you are asked the question of voting for something? You should know what yer view is!";negative
"""John, ten days ago you said the fundamentals of the economy were strong"" Hilarious #tweetdebate #current";negative
McCain -1 for wearing a tie that makes my eyes sore. #tweetdebate;negative
McCain -1 for a total non-answer #tweetdebate;negative
"-1 McCain Contrary statements regarding the state of the economy 
#tweetdebate";negative
Funny if they looked at each other I think the talking points would disappear and they might even be constructive #tweetdebate;negative
"Really tired of hearing the word ""mainstreet"" in the debate #tweetdebate";negative
"Fundamentally, if McCain fundamentally uses ""fundamental"" one more time, I'm gonna go nuts. #tweetdebate";negative
McCain -2 import/export claim? #tweetdebate;negative
McCain -2 Wrong Germany is the biggest exporter. Get your facts together! #tweetdebate;negative
#tweetdebate and when, just when are the questions going to be answered instead of campaigning talk?;negative
"#tweetdebate -1 Mccain for not answering the question and saying ""the wall street""   between the eyeblinking +hesitation he looks weird";negative
McCain is not answering the questions  #tweetdebate;negative
McCain likes the bears in Montana joke too much #tweetdebate #current;negative
-1 McCain should not joke about bear DNA #tweetdebate;negative
-1 mccain I love bears in montana #tweetdebate;negative
mccain -1 answer the question!  #tweetdebate;negative
-1 McCain flag waving pandering about American workers #tweetdebate;negative
-2 McCain for stringing too many colloquialisms together and post-Reaganomics sensationalism #tweetdebate;negative
#tweetdebate question: what did McCain learn from his good friend Charles Keating during the S&L bailout?;negative
McCain -3 for personal attack #tweetdebate;negative
mccain -1 for bringing up stupid bear study AGAIN #tweetdebate;negative
#tweetdebate generic debate so far. They won't even look at each other.;negative
so far, the debate reminds me of a school yard scolding #tweetdebate;negative
computer for their kid? maybe the parents don't have one. #tweetdebate;negative
@pamelawella is that what makes him look like that? have always wondered..:) #tweetdebate;negative
Earmark spending has tripled over the last 5 years. Hasn't it been a Republican Administration for the last 7? #obamashot #tweetdebate;negative
"it's like you can see Obama trying to remember all the ""talking points"" and get his slogans out there #tweetdebate";negative
McCain: I don't mean to go back and forth??? I thought this was a debate. #tweetdebate;negative
"-1 McCain #tweetdebate ""I didn't win Miss Congeniality"" but his VP did!";negative
McCain -3 personal attack & -2 does he have evidence for this accusations to Obama #tweetdebate;negative
Facebook Blunt Jackson McCain -3 for ongoing personal attacks, irrelevant #tweetdebate. http://tinyurl.com/4fe6hh;negative
Obama on the defensive.  #tweetdebate;negative
#current #tweetdebate #mccainshot Stop interrupting Obama McCain was just about to say my friends;negative
Mccain: the sherrif?  uh? #tweetdebate #current;negative
Jim Lehrer is having trouble getting them actually debating... fire up guys! #tweetdebate #debate08;negative
McCain -1 for failing to address the keystone tax cut issue #tweetdebate;negative
McCain's laugh sounds like Bush's!!  SCARYY!!  #tweetdebate;negative
#tweetdebate they won't even make eye contact. no one is responding directly;negative
"McCain seems to start every sentence with ""the point is that...."" #tweetdebate #current";negative
"rt: they are calling Palin ""Bible Spice"" now. LOL #tweetdebate";negative
#tweetdebate Weird that McPain brings up all the Repub bilksters in jail. He wants to separate himself, but doesn't seem like good strategy!;negative
McCain cant even look at him..he must have gas! #tweetdebate;negative
@MaryTrigiani Hilarious line ... would have been better if Palin didn't ... #tweetdebate;negative
I really would like to see Obama & McCain actually engage each other,rather than just talking to the camera #current #tweetdebate;negative
#tweetdebate -1 Obama for not answering earmark claim by McCain;negative
#tweetdebate McPain: we're exporting jobs 'cause of hi biz taxes. NOT because of cheap labor? Oh geez...;negative
McCain really believes earmarks got us into this mess and tax cuts will get us out of it? #tweetdebate;negative
McCain - have you tried buying health insurance for $5000 a year? #tweetdebate;negative
"#tweetdebate looks like McCain can't make eye contact with Obama and respond directly to him. dang! there goes ""my friends"" again.";negative
@current #current How can you give all those tax breaks and expect the economy to not go futher into the hole?;negative
McCain wants us to read his lips #tweetdebate;negative
@davidweiner You're playing that game?  I'm drinking everytime I hear #economy.;negative
McCain -1 avoiding the question? wait, waht was the question exactly.. #tweetdebate;negative
McCain -1 for failing (again) to heed the moderator's instructions #tweetdebate;negative
Because I don't have an HDTV, McCain's moire-effect tie is giving me a skull-crushing headache #tweetdebate;negative
@current  Ah yes, the pot and the kettle are debating who is to blame for the proverbial heat in the kitchen.  #current;negative
Mccain -1 for looking down and grinning #tweetdebate;negative
-1 mccain for floating idea of $5k tax cuts #tweetdebate;negative
#tweetdebate PLEEZE people, can we elect someone this time around who is SMART and ARTICULATE? F*ck having a beer with him/her...;negative
#tweetdebate -3 McCain untasty comment about Obama not knowing about household income and wealth;negative
-1 McCain for breaking the debate rules. #tweetdebate;negative
Christmas trees are economic issues McCain?  #current #tweetdebate;negative
"Mccain -3 personal attack and don't like the quote again ""walk the walk..talk the talk stuff"" nope doesn't work for me #Tweetdebate";negative
#tweetdebate McCain can only play one tune.;negative
Health care costs and social spending sounds like chump change compared with Corporate Welfare. #current #tweetdebate #debate08;negative
-3 McCain for taling in circles. I don't understand what he is saying. #tweetdebate;negative
"How long until McCain notes the amount of times Obama voted ""Present"" rather than Yea or Nay? #tweetdebate";negative
-1 Obama for breaking the debate rules and walking over the moderator. #tweetdebate;negative
McCain -1 for hogging the mic. #tweetdebate;negative
#tweetdebate Obama right to focus on issues in deregulation, and McCain ignoring these issues;negative
McCain -1 weird smirking/laughing #tweetdebate;negative
@current #current Obama is stuttering too much. Sounds like Porky Big;negative
Financial rescue?  More like financial bailout!  #tweetdebate;negative
-3 McCain still attacking Obama (and spends more time looking at the podium) and -5 for that smile #tweetdebate;negative
I only just remembered that this was a foreign policy debate. #tweetdebate #current #debate08;negative
-1 Obama for too many disclaimers re: potential economic recovery plan #tweetdebate;negative
@current Healthcare is a financial killer in our capitalist society, oh the irony.  #current;negative
@MaryTrigiani Yes, when she lost Miss Alaska.;negative
-1 to Obama for leaving out conservation in the list of things that will free us from foreign oil #tweetdebate;negative
What is obama talking about with electricity? #current #tweetdebate;negative
ok, obama, people are glazing.  #tweetdebate;negative
"Obama -1 what are you ""giving up"" in terms of spending exactly #tweetdebate";negative
China also let infants drink tainted milk do we REALLY want to be like them?? #debate08 #maccainshot #obamashot #tweetdebate #current;negative
slipped that in  #tweetdebate;negative
McCain -3 another personal attack  #tweetdebate;negative
"#tweetdebate ""I oppose"" drinking game -- bottoms up!";negative
-3 McCain Personal attack, it is hard to reach across the aisle when one is that far to the left. #tweetdebate;negative
-2 McCain for redundancy #tweetdebate;negative
@current #current How in this day and age can you deny help to anyone who wants to produce alternative fuel -4 McCain;negative
"#tweetdebate How many people know what ""cost-plus"" contracts are? I wouldn't know if I hadn't worked for construction-related clients.";negative
McCain -1 for false claims on Obama's voting record. #tweetdebate;negative
#tweetdebate defence contract inefficiency in contracts not the problem, a symptom, warring foreign policy is the REAL problem;negative
Unfortunately, Obama didn't answer the question of what would he cut...#debate08 #tweetdebate;negative
-3 pts simply because McCain said he's against ethanol subsidies. boo...#tweetdebate;negative
The moderator looked scary just now  #current #tweetdebate;negative
Mccain +3 examine quote ok.. but -1 not answering the question #tweetdebate;negative
-1 Obama for his crazy stuttering. Slow down, think and THEN speak #tweetdebate;negative
McCain -2 for false statement Obama does not have the most liberal record  #tweetdebate;negative
"McCain -2 for bringing federal prison into every question; is he thinking he's lucky not to be there himself? think Keating #tweetdebate";negative
McCain -1 for mischaracterizing a naval program #tweetdebate;negative
"#tweetdebate hahahah...""wildly liberal"" is just me opposing bush's wrongheaded policies";negative
Google for government? huh? #tweetdebate;negative
-1 Obama not answering question about specific cuts #tweetdebate;negative
"Obama - ""Where's the teleprompter and cue cards!?"" #current #tweetdebate";negative
Obama -1 for evading question on what to cut #tweetdebate;negative
Dang tweeting while pausing the Tivo is not the right thing to do #current #debate08 #tweetdebate;negative
Where's the foreign policy part of the debate??? :S  #tweetdebate #current;negative
McCain -1 for evading question on what to cut #tweetdebate;negative
#tweetdebate Using a hatchet when you need a scalpel. #obamashot;negative
Obama soundbite: problem with a spending freeze is youre using a hatchet when you need a scalpel #tweetdebate;negative
Mccain -1 what? spending freeze ??? unclear at all #tweetdebate;negative
Close ups of Obama make him look old  #current #tweetdebate;negative
Obama- I wanna keep spending money--his Early Childhood education is full of crap. #current #tweetdebate;negative
-3 mccain #tweetdebate spending freeze for everything but defense -- what about our children? our education? energy independence?;negative
@current Damn, McCain just had to play the terrorist card. #current;negative
more nukes is not the answer #tweetdebate;negative
-1 McCain's off topic on counterpoint about spending cuts    #tweetdebate;negative
McCain really shouldn't think off the cuff, he'll paint himself into a corner very quickly  #tweetdebate #current;negative
Bill pissed  #tweetdebate  he's like 'step up'!;negative
McCain -1 for a stunt. Spending freeze is classical BS #tweetdebate;negative
-1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate;negative
What the heck is the line graph at the bottom of CNN's screen? Looks like my pulse! #tweetdebate;negative
Yes Obama I want to hear more about your superiority  #current #tweetdebate;negative
McCain -2 Nuclear power is limited too dude! By 2050 we are out of Uranium! And your power plant is done in 2030 #tweetdebate;negative
Roosevelt again. shit. he needs to throw down  #tweetdebate;negative
lehrer constantly rephrasing questions - mccain rambles too much to cover his talking points. -1 mccain #tweetdebate;negative
"-1 pt for Jim Leher for asking a stupid question: ""will the economic failure change the way you rule as president?"" uh...YEAH. #tweetdebate";negative
@orbitaldiamonds IKR? Absolutely ridiculous.;negative
#tweetdebate -Google for government-uh, did anyone vote against that?  Voice votes on slam dunk legislation isn't a record of accomplishment;negative
Spending freeze? Really McCain? #tweetdebate;negative
#tweetdebate agree with Obama - McCain hatchett job -ive step. We need a scalpel. Granularity of growth argument.;negative
@Condoulo oh boy good point, I doubt I would vote for her milf GMilf etc self anyway.;negative
McCain -3 for total nonsense #tweetdebate;negative
Obama - spending on healthcare--he couldn't admit that this spending must stop!   #current #tweetdebate;negative
-1 McCain for not having a clue how many people can't afford a doctor at all #tweetdebate;negative
McCain -1 for evading question on what to cut #tweetdebate;negative
both -2 for saying the same thing over and over again. I know it's because people won't get it otherwise. People -3 ??? #tweetdebate;negative
#current #tweetdebate people without healthcare don't have those decisions to make, McCain.;negative
-1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate;negative
Cut spending, Cut spending Cut spending Cut spending Cut spending :S  #tweetdebate #current;negative
"#tweetdebate McCain -2 broken record ""cut spending"". Big ""duh""...";negative
@usermac if McCain is a cool beverage it's a plastic tumbler of prune juice.  So unpleasant and cramp inducing.;negative
#tweetdebate we can handle banks over to the federal government, but not healthcare?;negative
@current #current Spending got out of control under REPUBLICAN presidency.;negative
#tweetdebate - McCain calls for all energy alternatives, including Nuclear!  McCain also says Climate Change.  Boo.;negative
I think Obama miscalculated with not supporting a safe nuclear power program. #tweetdebate;negative
McCain -3 for another complete mischaracterization of reality (debt to china is utterly irrelevant) #tweetdebate;negative
@theebayk1d No..... we will end up with a conservative who supports drilling here in the US as we go to alternatives, second ammendment, etc;negative
McCain -3 for making a false statement about Obama's health care plan #tweetdebate;negative
@SistersTalk The fear climate descended with Bush got the West Wing keys. #current #tweetdebate #debate08;negative
"Obama -3 for getting ""Jim"" err ""John's"" name wrong, and not addressing him as ""senator"" lack of respect #tweetdebate";negative
"""This orgy of spending....and you voted for his budgets"" #tweetdebate";negative
More pissing on spending... #current #tweetdebate;negative
#tweetdebate Sen O: YOU voted for Bush' budgets. Stand here and say that when it hasn't happened over last 8 hears, it's hard to swallow.;negative
probably...eventually.... c'mon McCain grow a pair #tweetdebate;negative
Obama - you voted for all of the budgets that have fuelled this orgy of spending. #tweetdebate;negative
He was voted Miss Bitch  #tweetdebate;negative
McCain rehearsed soundbite: I have not been voted Ms Congeniality #tweetdebate;negative
I guess McCain only spends money on shoes, make up and houses  #tweetdebate;negative
#tweetdebate Over-used phrase of the night: Miss Congeniality. Wonder how that plays overseas?;negative
"#tweetdebate soooo tired of hearing ""i have not been electd miss congeniality.";negative
McCain -1 for reuse of Miss Congeniality reference #tweetdebate;negative
@current #current If McCain would definitely make a very ugly Ms. Congeniality. Its a lousy cliche to keep throwing out though.;negative
OHHHH First uppercut of the night!  #tweetdebate #current;negative
45 Nuclear Plants?  OMG WTF?!!?!  #tweetdebate;negative
-2 McCain for saying Miss Congeniality twice so far. #tweetdebate;negative
#tweetdebate McPain: I'm proud to say I've got a good partner who is a maverick. [that's ONE way to describe someone who's clueless];negative
McCain -2 for saying 'were winning in iraq' i'm pretty sure that's not true #tweetdebate;negative
Not being mr congeniality is a BAD thing.  If your senate won't work with you, other countries won't and we need friends #tweetdebate;negative
McCain -2 for not answering the question #tweetdebate;negative
Why does McCain leep talking about Miss Congeniality when that's the title Sarah Palin won? #tweetdebate;negative
Obama has been hammering the afgan point too hard, we get it!  #current, #debate08, #tweetdebate;negative
$10 billion/mo in Iraq and McCain wants to talk about earmarks? #current #tweetdebate #debate08;negative
i hate it when obama tries to be all hawky. #current #tweetdebate;negative
#tweetdebate Sen O: Al Quaeda stronger now than since '01. Lesson: we have to use military WISELY and we didn't do that in Iraq.;negative
macain -1 on where he stands on the $700B bailout, he didn't tell us HOW #tweetdebate;negative
"@current It's either some ""epic battle against the terrorists"" or ""hey, look, it's broken ya'll"".  #current";negative
-1 Obama initially off topic answering question on lessons of war  #tweetdebate;negative
McCain -3 personal attack (what? without evidence huh? what hearing #tweetdebate;negative
Wow whoever created McCain's talking points was really reaching... #tweetdebate #current #debate08;negative
-2 McCain for saying we are winning in Iraq. I don't see anything coming out of the Iraq war. #tweetdebate;negative
"SURGE....tired of that term.  We're still there; we're still losing people (maybe more due to the surge?) #tweetdebate #debate08 #current";negative
Obama gives strong kudos to Biden ... is McCain going to applaud his selection of the Palin creature? #current #tweetdebate #debate08;negative
-1 for obama trying to ignore the fact the fact that mccain has been a lone voice calling for a change in iraq strategy #tweetdebate;negative
Mccain -1 for not looking at Obama when Obama is looking at him #tweetdebate;negative
@current  It reminds me of some teenagers that totally fucked up their parents' house and now they don't want to admit it.  #current;negative
McCain -1 for a false statement about Obama commitee responsibilities #tweetdebate;negative
McCain -3 for being a pompous ass. #tweetdebate;negative
"oooh, ""I'm afraid Obama doesn't understand the difference between a tactic and a strategy."" - McCain #current #tweetdebate";negative
#tweetdebate #obamashot you were wrong you were wrong you were wrong you were wrong;negative
#tweetdebate McPain: Sen O doesn't understand diff between tactic and strategy [they don't teach you those things at Harvard law?!];negative
"-3 Mccain for a backhanded comment (""Obama doesn't understand the tactic and the strategy"") #tweetdebate";negative
FACT Soldiers are not reenlisting now buddy! And they are not voting for you! #current, #debate08, #tweetdebate;negative
McCain -2 for triggering patriotism all the time #tweetdebate;negative
"McCain: ""selecting Palin to win the election is a tactic, dying and making her President is a strategy."" # Current #debate08 #tweetdebate";negative
Yes. Let's cut spending for everything EXCEPT our defensive contracts. Are you fucking kidding me? #tweetdebate;negative
"@current  Oh, there came the Osama card.  That would have been the perfect time for McCain to ""accidentally"" mess up his name.  #current";negative
Facebook Blunt Jackson McCain -3 for total falsehoods and personal attacks #tweetdebate. http://tinyurl.com/43v3kc;negative
"#tweetdebate McPain STILL quibbling over definition of ""strategy"" and ""tactic.""";negative
-1 mccain wtf is he talking about in Afghanistan? Ramble on old man #tweetdebate;negative
"I'm afraid Senator McCain doesn't know the difference between ""succeed"" and ""exceeed."" #tweetdebate";negative
Obama should only interrupt McCain when McCain lies... oh, never mind, that would be more interruptions... # Current #debate08 #tweetdebate;negative
@current  Oh, that brings up a good question.  How the hell can we afford wars that don't matter when we're broke?  #current;negative
Why is that Obama calls McCain John all the time, but McCain never refers to Obama by his first name? #tweetdebate;negative
#current #debate08 #tweetdebate Wow, can't anyone stop Mc's bald lies?;negative
#tweetdebate #obamashot Obama has NOT said change yet. Should i return the tequila bottle?;negative
@ceanders And he keeps smiling in a really passive pedophile way;negative
@current  Do you realize how expensive military weaponry is?  For Christ's sake, can't we just fight our wars with propaganda?  #current;negative
Agreed: Iran should've been the #1 focus. #tweetdebate;negative
#tweetdebate Sen O brings up subject of Pakistan. McPain: Won't repeat mistake I regret enormously...washed our hands of region (after USSR);negative
McCain soundbite: You don't say that out loud! #tweetdebate;negative
#tweetdebate It's the economy, stupid.;negative
McCain but those freedom fighters were alquaeda -2 #tweetdebate;negative
I must disagree with Obama - Iran is bigger threat than Al Qaeda #tweetdebate;negative
McCain -2 for mischaracterizing Obama on Pakistan #tweetdebate;negative
Maybe McCain will let Paliin handle Pakistan ... she met some world leaders the other day ... she's ready!! #current #tweetdebate #debate08;negative
@current  Why do we care about Pakistan?  Because they have nuclear weapons?  Do they have stability?  #current;negative
"""You dont say things out loud!?"" Core problem as Republican's #tweetdebate";negative
