#tweetdebate letting mom/dad follow debate on CNN while tweet scoring. I will sleep on the sofa with them & wait for the screams GO OBAMA	neutral
@orbitaldiamonds Power tie. Unlike McCain's candystriper tie.	neutral
McCain is more personable tonight than Obama.  Didnt expect that at all in the first 4 minutes of the evening.  +5 McCain #tweetdebate	neutral
"#tweetdebate ""its not the beginning of the end, but the end of the beginning..."" very ""known unknowns"" language"	neutral
McCain: Greed is rewarded, excess rewarded. Obama: We need to solve short term problem, underlying issues. #current #tweetdebate #debate08	neutral
Obama needs to go for the jugular. You can take this guy Barack... go get 'im. #tweetdebate #debate08	neutral
McCain +1 for dissing Bush administration and earmarking #tweetdebate	neutral
"+3 pts for McCain: ""Republicans came to change Washington, but Washington changed us"". Now get out of town. #tweetdebate"	neutral
#obamashots: 0 , #mcainshots: 0 C'mon guyssssss #tweetdebate #current	neutral
McCain -1 for treating Americans like idiots re: earmarking.  But +1 for the pen thing. #tweetdebate	neutral
Obama seems relaxed and poised, frankly McCain's voice has hint of stress in it #tweetdebate	neutral
"Obama +2 for countering ""earmark"" spending, but -1 for getting off topic with tax cuts. #tweetdebate"	neutral
obama +2 where is mccain getting his numbers #tweetdebate	neutral
McCain -1 initial answer about earmarks  Obama  +1 clear answer    #tweetdebate	neutral
+1 Obama for speaking directly to his opponent. -2 McCain for not catching on. #tweetdebate	neutral
I wonder if Lehrer would only be happy when they resort to fisticuffs #tweetdebate	neutral
Obama always looks at the camera or McCain...McCain is looking for his walker #tweetdebate	neutral
+2 Obama for counter arguments, -1 McCain avoiding issue after 2nd request #tweetdebate	neutral
+1 Obama - loopholes in business tax code that give corporations really low tax rate, much lower that figure quoted by McCain. #tweetdebate	neutral
@MaryTrigiani Lehrer is being a very good monitor. Too eager to have them 'engage each other.' shouldn't a debate be about engaging topix?	neutral
that was a tie for me McCain:.5 Obama:1.5 #tweetdebate #current	neutral
"#tweetdebate ""american families"" - pretty diverse bunch I would say, hard to generalise"	neutral
Obama used Michigan/Ohio keywords. #current #tweetdebate #debate08	neutral
@current #current Here is a perfect spot to bring up the Bridge to Nowhere, Obama. Go for it!	neutral
"come on, clearly ""free market with no regulation"" doesn't work, we can see it now. Say it! #tweetdebate"	neutral
@current McCaptain Obvious & Yo Mama Obama are arguing red vs. blue when the answer is purple.  Maybe they should smoke more weed. #current	neutral
"#tweetdebate Obama mentions ""google for government"" I wonder if McCain even knows what that is"	neutral
He needs to win ALOT or people will think he lost.  This should be easier than this for him.  #tweetdebate	neutral
McCain looks tired and confused. Obama needs to stop looking at his notes. Obama is winning. #tweetdebate #debate08 #current	neutral
#tweetdebate - Obama cuts in spending always seem to go back to taking money from evil companies.	neutral
"Um,. Lehrer, presidents don't ""rule the country."" USA is not a monarchy. Thx @kevinnixon for pointing that out. #tweetdebate"	neutral
@current  ...and map every single inch of Earth while they're at it. #current	neutral
McCain is a smug bastard everytime Obama mentions him, he smiles like hes talking to a 5 year old. While O's humble and quiet  #tweetdebate	neutral
#tweetdebate Hard to believe but we're only 1/3 through this thing. Take a #mccainshot and an #obamashot	neutral
#current #tweetdebate where is McCain getting the $800M figure for Obama	neutral
Obama +2 for tying McCain to Bush's failed economic policies. #tweetdebate	neutral
#tweetdebate not convinced either of these guys are the answer.  talking points vs talking big.	neutral
@current  It feels like they are arguing the existence of fairytale.  This is more like Bible vs. Truth.  #current	neutral
BADDA BING BADDA BOOM! Obama just hit it #tweetdebate	neutral
@janoss - John can't address Obama directly - is that a sign of something? A blink, perhaps?	neutral
"Obama +2 clearly ""agreeing"" with Mccain on .... and yet, rebuttal - what's going on now - better #tweetdebate"	neutral
"@KatyComeTrue  The word ""festooned"" is woefully underused. #tweetdebate"	neutral
